C*?‖a^‖MCL‖En‖å¦ä¦â¦à¦á¦ą¦ā‖1=U+00E5|2=U+00E4|3=U+00E2|4=U+00E0|5=U+00E1|6=U+0105|7=U+0101
C*?‖A^‖MSI‖En‖Å¦Ä¦Â¦À¦Á¦Ą¦Ā‖1=U+00C5|2=U+U+00C4|3=U+00C2|4=U+00C0|5=U+00C1|6=U+0105|7=U+0100
C*?‖c^‖MSI‖En‖č¦ć‖1=U+010D|2=U+0107
C*?‖C^‖MSI‖En‖Č¦Ć‖1=U+010C|2=U+0106
C*?‖e^‖MSI‖En‖æ¦ë¦ê¦è¦é¦ę‖1=U+00E6|2=U+00EB|3=U+00EA|4=U+00E8|5=U+00E9|6=U+0119|7=
C*?‖E^‖MSI‖En‖Æ¦Ë¦Ê¦È¦É¦Ę‖1=U+00C6|2=U+00CBB|3=U+00CA|4=U+00C88|5=U+00C9|6=U+0118
C*?‖i^‖MSI‖En‖ï¦î¦ì¦í‖1=U+00EF|2=U+00EE|3=U+00EC|4=U+00ED|5=|6=|7=|8=
C*?‖I^‖MSI‖En‖Ï¦Î¦Ì¦Í‖1=U+00CF|2=U+00CEE|3=U+00CCC|4=U+00CD|5=|6=|7=|8=
C*?‖l^‖MSI‖En‖ł¦ľ‖1=U+0142|2=U+013E
C*?‖L^‖MSI‖En‖Ł¦Ľ‖1=U+0141|2=U+013D
C*?‖n^‖MSI‖En‖ń¦ň‖1=U+0144|2=U+0148
C*?‖N^‖MSI‖En‖Ń¦Ň‖1=U+0143|2=U+0147
C*?‖o^‖MSI‖En‖ø¦ö¦ô¦ò¦ó‖1=U+00F8|2=U+00F6|3=U+00F4|4=U+00F2|5=U+00F3|6=|7=|8=
C*?‖O^‖MSI‖En‖Ø¦Ö¦Ô¦Ò¦Ó‖1=U+00D8|2=U+00D6|3=U+00D4|4=U+00D2|5=U+00D3|6=|7=|8=
C*?‖r^‖MSI‖En‖ř‖1=U+0159|2=
C*?‖R^‖MSI‖En‖Ř‖1=U+0158|2=
C*?‖s^‖MSI‖En‖ś¦š¦ß‖1=U+015B|2=U+0161|3=U+00DF|4=
C*?‖S^‖MSI‖En‖Ś¦Š¦ẞ‖1=U+015A|2=U+0160|3=U+1E9E|4=
C*?‖t^‖MSI‖En‖ť‖1=U+0165|2=
C*?‖T^‖MSI‖En‖Ť‖1=U+0164|2=
C*?‖u^‖MSI‖En‖ü¦û¦ù¦ú¦ů‖1=U+00FC|2=U+00FB|3=U+00F9|4=U+00FA|5=U+016F|6=|7=
C*?‖U^‖MSI‖En‖Ü¦Û¦Ù¦Ú¦Ů‖1=U+00DC|2=U+00DB|3=U+00D9|4=U+00DA|5=U+016E|6=|7=
C*?‖y^‖MSI‖En‖ÿ¦ý‖1=U+00FF|2=U+00FD|
C*?‖Y^‖MSI‖En‖Ÿ¦Ý‖1=U+0178|2=U+00DD|
C*?‖z^‖MSI‖En‖ž¦ź¦ż‖1=U+017E|2=U+017A|3=U+017C
C*?‖Z^‖MSI‖En‖Ž¦Ź¦Ż‖1=U+017D|2=U+0179|3=U+017B